created_at,tweet_text,Argumentative
2021-11-17 07:55:00+00:00,"Sorry for the radio silence all. I had to draw pretty pictures during COP. The summit failed so we must continue. We will be back soon bigger, better and mostly electric though heavy stuff has to go via diesel truck. I mean come battery range is terrible. #InsulateBritain",1
2021-11-16 09:06:51+00:00,Fingers crossed it's over quickly and he is given a custodial sentence. #InsulateBritain https://t.co/KaJVsduSTc,1
2021-11-17 17:47:11+00:00,Cowardly Tory government avoid jury to persecute #InsulateBritain campaigners. https://t.co/kRNdnLjSnd,1
2021-11-18 07:38:06+00:00,@GeorgeMonbiot emotional on @gmb because he understands the impeding #ClimateEmergency This is an infinitely more important issue than anything else in these times. #InsulateBritain,1
2021-11-17 12:23:09+00:00,"@InsulateLove Criminals say lots of things.
As this quote shows, much of what they say are lies. Self-serving lies.
#InsulateBritain",1
2021-11-17 20:03:34+00:00,"#InsulateBritain are on the right side of history; the government's injunctions are not 

New blog post by Alice Hardy of our team, instructed with @ogreenhall to challenge injunctions by two climate activists who were not associated with @InsulateLove https://t.co/iOywYxHYd9",1
2021-11-17 15:58:16+00:00,#InsulateBritain whats going on! There are grants &amp; help out there to have your home insulated. What more do you want other than a sense check!! You should be ashamed of yourselves holding up emergency services &amp; people who have to work for a living. What jobs do you hold?!? https://t.co/gdZievE41F,1
2021-11-14 08:20:52+00:00,"Yes there may always be protests. Yet if those governments @Conservatives that take vat, tax, quantitative easing (unconventional), left over inheritance and squander it on sleaze maybe more people should protest. #ExtinctionRebellion #reparationRebellion #InsulateBritain @GMB https://t.co/BjeUUBbBWC",1
2021-11-18 08:34:49+00:00,"@ExtinctionR Maybe if she didn’t use so many chemical dyes for her hair and used less plastic man made clothing, she would be believable. 

My burger a day trumps her peroxide blonde dyes in the climate change stakes....

#InsulateBritain #EmmaSmart",1
2021-11-17 19:35:10+00:00,"And as for that wingding representing #InsulateBritain who won’t answer a question apart from screeching ‘YOURE NOT ASKING THE RIGHT QUESTIONS!’ Jesus wept… someone get girlfriend a psych assessment quick. She needs help. She really, really does. That is NOT a well woman.",1
2021-11-18 04:40:52+00:00,"#InsulateBritain are supposedly trying to get buildings insulated, has to be said their campaign seems to have almost nothing to do with this.

#Russia is a dictatorship, #PRC is more of an #oligarchy, #UK is mixed system, a lot of oligarchy, #ChurchofEngland is largely oligarchy https://t.co/tcNJwx65su",1
2021-11-18 12:14:17+00:00,@GeorgieProRadio @InsulateLove They missed a trick there. Surely they should have glued themselves to the road in front of the gates thus stopping the prison vans from getting out. Come on #InsulateBritain We would have found that one funny!!,1
2021-11-17 15:22:04+00:00,#InsulateBritain activist also declares a shower strike. https://t.co/u4Z7uV4EwR,0
2021-11-18 07:34:32+00:00,Grown man crying over #InsulateBritain what a tit! #GMB,1
2021-11-17 14:51:02+00:00,"@mrchrisjohn They are criminals.
That is what the courts determined.
You lying about that is not the #Integrity you claim in your profile.
#InsulateBritain",1
2021-11-17 11:16:34+00:00,Nine Insulate Britain activists will be eating Christmas turkey in jail for breaching High Court injunction .@InsulateLove #InsulateBritain - https://t.co/Dh7zwUalZh https://t.co/aRt44umhE3,1
2021-11-18 07:36:58+00:00,@agcolehamilton There’s nine spare slots in #InsulateBritain going if these green friends wish to jump ship. 3-6month contract .Team players only .Supply your own superglue or no more nails.Reflective PPE supplied. Pay by DWP .,1
2021-11-17 11:00:22+00:00,"Good. Progress at last. 
#InsulateBritain 

https://t.co/PkjV8DgQp3",0
2021-11-17 14:45:26+00:00,"@transitionlouth @bencsmoke @JKSteinberger Sure, Biff.

The #Thug9 from #InsulateBritain are not heroes.",1
2021-11-17 18:23:11+00:00,@InsulateLove Solidarity.⬇️This is way more damaging and disruptive than what you do.  Thank you for trying to save us all. #ClimateEmergency   #InsulateBritain https://t.co/hqyv67Rf3s,1
2021-11-17 19:24:28+00:00,"Outside HMP Wandsworth this evening, we pay tribute to 9 brave Insulate Britain activists unjustly jailed today.
#InsulateBritain #FreeJamesBrown #ClimateEmergency
@InsulateLove @alicebr47249832 @XRLondon @XRWandsworth @XRebellionUK @KingstonXR @XRLambeth @XRBalham https://t.co/8GgDxoW0PB",1
2021-11-17 14:28:29+00:00,"@retchid @grantshapps #Insulatebritain certainly do take climate change seriously
https://t.co/NE5BLyDnJ5",1
2021-11-17 18:27:07+00:00,"They’ve got a spell in prison and a proper criminal record for sitting on a road.
The #InsulateBritain lot really are a bit thick. 😂😂😂",1
2021-11-18 21:55:14+00:00,"Emma Smart, a scientist with #InsulateBritain, will be going on a hunger strike whilst in prison 🙏
https://t.co/MUUe8nHvRE",1
2021-11-17 23:43:07+00:00,"How does @Kevin_Maguire  put up with #brexitshambles evil, bitter, hysterical @toryboypierce although they’re both right re #InsulateBritain",0
2021-11-17 12:13:59+00:00,"@TrueMythocracy @endhunting @InsulateLove ""Its amazing how many people welcome fascism/authoritarianism so long as its directed at someone else ... this time""

Very true.
We have seen that time after time and in so many vile and aggressive ways from Corbyn's thugs.
#InsulateBritain",1
