created_at,tweet_text
2021-11-18 09:49:07+00:00,"#InsulateBritain an organisation that managed to destroy any sympathy the public may have had for their cause by their own stupid behaviour, in fact, you could argue they’ve made the public more hostile towards environmental issues in general!!  #JeremyVine https://t.co/NnlFWyZluR"
2021-11-18 13:12:19+00:00,"@richardshears Love to see this in whitley Bay @MayorJD @NorthTyneCA
Let's #insulatebritain / north tyneside"
2021-11-18 06:32:52+00:00,"@InsulateGB 

9 protesters sentence for breach of court re m25 protest 

#InsulateBritain"
2021-11-18 17:43:44+00:00,"(1/3) It's incredible that Insulate Britain has the word ""love"" in its Twitter handle -- still, I suppose it shows they've got a sense of #humour, if not a sense of proportion or morality!

#InsulateBritain #insulatebritainloonies #humor #funny #humorous https://t.co/TSlbkYUWmf"
2021-11-18 07:38:34+00:00,I absolutely get that we need change #ClimateCrisis but #InsulateBritain are not helping the cause. @GeorgeMonbiot becoming very emotional on @GMB - let’s educate not create hate. #GMB https://t.co/el9DaqXEUg
2021-11-17 15:52:22+00:00,"@marydonald4 @alexlockwood @grantshapps Insulate Britain demanded govt insulate social housing, the upkeep &amp; insulation of which is the duty of the state

People living in social housing are often elderly/poor &amp; need state help

Taxes are to help people in need not fund #ToryCorruption &amp; #TorySleaze

#InsulateBritain"
2021-11-18 08:12:13+00:00,"Today’s news summary – Paper Talk

#InsulateBritain #JackGrealish #Sleaze #BorisJohnson #England #Liverpool https://t.co/rNhb9epfbK"
2021-11-17 13:49:42+00:00,"@nufcfanatic77 @IsSaddleThereIs @grantshapps @NationalHways Awful but as caller on @lbc @mrjamesob show pointed out they were possibly also delaying burglars, terrorists, rapists, tax avoiders, drug runners, gang members, county lines,  etc. Not all journeys are necessary or for the greater good  #InsulateBritain simple message #COP26"
2021-11-16 17:07:18+00:00,"Fuck him and his mates.....

#InsulateBritain https://t.co/taZXLRm5ot"
2021-11-14 20:15:43+00:00,@McilwaineSamuel @UKRunChat I’ve been selling mine online to friendly old blokes who love it. They key is not to wash it and send it off the sweatier the better. These blokes will pay good money. #insulatebritain
2021-11-17 12:59:03+00:00,Congrats guys we got the people that sat in a road protesting about the future of our world in jail! We smashed it! Right?! Right!? #InsulateBritain https://t.co/7Q10cYJnxq
2021-11-17 11:02:49+00:00,#insulatebritain knew they were going to prison. Why would they do that? Because the public do not know how fucked we all are. This was Canada yesterday. Almost no media is expressing the full horror of what we face. Read for yourself https://t.co/w5jsKEUie3 https://t.co/S1GiTwRB0K
2021-11-17 11:09:59+00:00,"When the Law is an Ass 
#ClimateCrisis #EcologicalEmergency #InsulateBritain https://t.co/cYJ8zT5NSb"
2021-11-16 14:16:50+00:00,"@ArchRose90 Don't do the sticking, if you don't want the nicking. #InsulateBritain"
2021-11-17 14:23:09+00:00,At least now those insulate Britain protesters who are jailed now have a nice warm room for winter and don't need to worry about insulation. Oh the irony. #InsulateBritain #Jail
2021-11-12 12:46:27+00:00,"#COP26 #ClimateCrisis #EarthShotPrize #InsulateBritain My WalkaboutsVerse song ""Just Subsist"" https://t.co/gZN0YK1utN"
2021-11-17 22:01:09+00:00,#InsulateBritain So pleased to see these wreckers in  jail though sentences are far too short. Let's hope the  9 have to pay  serious amounts in costs too. Paul in Oxford.
