Argument1,Argument2,Label
"@GBNEWS One thing all these eco warrior nutters have in common is they don’t listen, and they rant. @danwootton #InsulateBritain do NOT have my backing. They don’t speak for me! #InsulateBritain are nutters. They’ve put me off environmentalism!",Fingers crossed it's over quickly and he is given a custodial sentence. #InsulateBritain https://t.co/KaJVsduSTc,1
Big Bubba when the #InsulateBritain new meat arrive on the cell block tonight 😂😂 https://t.co/5qMZh8bEgj,"Whatever happens tomorrow I love these guys. Fearless, brave moral defenders of the earth. 💚 #ExtinctionRebellion #InsulateBritain https://t.co/JzYuJDXtxN",0
@Joejoe7Joseph I'd be super glueing my arse cheeks together if I was them 🤣#InsulateBritain,"#InsulateBritain So proud to live in
""Great Britain"" our ""free country"" were you can be jailed for six months for ""sitting in the road"" and paid 82k a year as an MP for doing sweet fuck all a part from feathering your own nest #ToryDictatorship",0
"@InsulateLove The end of civilisation is far more likely if we let criminals like the Thug 9 get away with their crimes.
It is unlikely any of them will get 2 years in prison, but we can always hope.
#InsulateBritain","@SiobhanBenita If it’s #InsulateBritain you are referring to , it’s their irresponsible actions they are being locked up for , not their beliefs. #brokenbritain",1
"#insulatebritain good luck to those with prison sentences, really hope it was worth it, when you try to apply for jobs, buy insurances, mortgages etc, your record will hinder you! Assuming you do work, pay tax etc","Inspired by @SteB777 (sorry Stephen I can't find your tweet), I've just bought a German tank suit for home-working. I'm looking into insulating my home better, but in the meantime I can make daily decisions to not put the heating on.🔥🌏 #ClimateEmergency #InsulateBritain",0
#InsulateBritain folk will happy do jail time for what they believe in. Fair play to them.,"At leat the Tories didn't block traffic during a climate crisis - they'd have been imprisoned for 6 months alongside Insulate Britain members for that - no, they merely fuelled £1.6 billion of our money to their donors &amp; therefore themselves. #InsulateBritain #ToryCorruption https://t.co/LXQtOCKc7X",1
"@mrjamesob one thing I disagree about the Ambulances etc for London Marathon and other events is that, when those event happen they have a diversion set up. Whereas when #InsulateBritain do it there is no warning or diversion and the Ambulances are stuck.","24/10/21 @InsulateLove: Why aren't we in prison?

17/11/21: Our #InsulateBritain supporters have been sentenced. We are being failed and betrayed by our government. 😪 https://t.co/6ox2If8H8R",1
"Emma Smart, the #InsulateBritain activist who has been jailed for 4 months had previously travelled 81,000 miles on a round the world trip. https://t.co/gEokQy9P9z","Another case of ‘do as I say, not as I do’ #InsulateBritain https://t.co/Uy7MYDA5Jc",1
"Real Media's special report on #InsulateBritain, their mayhem-causing direct action on motorways and most of all, why.

#ClimateCrisis

Full coverage ➡️ https://t.co/M91W7r7j3y https://t.co/Z2UG7cn6WF","@James_J_Marlow Sadly many of us are not surprised by this at all.
It is ""just"" another example of the vile things they think, say and do.

Groups like #InsulateBritain also regularly use the word ""rape"" too, with no regard at all for the terrible effects of that awful crime against women,",1
"Don't disrupt or obstruct other people's lives &amp; break the law.
And you won't get sent to prison.
#InsulateBritain 
https://t.co/kiSIllsot7","Any fuckwits from Insulate Britain been convicted yet ? 
#ecomentalists #InsulateBritain",1
"Whilst I do not agree with the way #InsulateBritain have protested or conducted themselves, as NINE of them were sent to prison today, I am never the less impressed at their commitment to the cause.","It’ll be lonely this Christmas,
Lonely &amp; Cold…..

Prison Cells are not known for their insulation, either for heating or soundproofing purposes.

#InsulateBritain https://t.co/F2rGruiFBT",1
"- Suffragettes 
- Anti Apartheid 
- Civil Rights movement 
Protests to gain equal access to jobs,education, housing, and fair social status.

#InsulateBritain 
Loft &amp; cavity wall insulation

Insult to all who gave their lives &amp; liberty to human rights to compare them
#JeremyVine","@Jonatha72315495 @grantshapps @Conservatives @NationalHways You were SO nearly there!🤦‍♀️

How about …

Creating proper jobs for people to go and insulate houses then people would be warmer, have lower bills, help save the planet, and end the protests.

Or, cold people, high bills, planet trashed, still have protestors.

#InsulateBritain https://t.co/MrtZEcet2I",0
"@KateM45 Try looking up the definition of compassionate and see how that relates to the tales of misery told by hundreds of people that failed to attend funerals, hospital appointments and job interviews. Get real @kateM45 #InsulateBritain","TIL that #InsulateBritain isn't about Loft &amp; Cavity Wall insulation.

No joke.
I'm serious...

I'm relieved because their protests did seem excessive.",1
"@rudeboy_dwight @damiengayle Your selective interpretation of #InsulateBritain reckless actions is not good, but you are right, your lies are not as bad as their actual behaviour.",#InsulateBritain disgraceful language and offensive to many. https://t.co/e455wlyC9N,1
Fascinating Masterclass coming up on how local authorities and community energy can support warm homes in the private rented sector. @UKPNnews @TheNEF #insulatebritain @LGAcomms #COP26 https://t.co/aci6hFNM2c,@LondonFire Our Highly flammable building is now a dumping ground for Rock Wool Insulation! Dumped here in our bins and floor. I'm so upset that we have to live like this. No fire doors working. What the hell! @EalingCouncil #EndOurCladdingScandal #InsulateBritain https://t.co/k5Sm95pf7q,1
"@Guiller06147780 @SVPch ✌️✌️✌️❤️❤️❤️
Sending love and strength from UK where scientists and activists are jailed 
#InsulateBritain https://t.co/8PoalWAEe5","This is the fellow who helps organise #StAlbans Sutainability Festival (when he is not advocating the stopping of emergency ambulances)

The #Fascist #InsulateBritain are a disgrace https://t.co/ioSbdwaDn6",0
Nine Insulate Britain activists will be eating Christmas turkey in jail for breaching High Court injunction .@InsulateLove #InsulateBritain - https://t.co/Dh7zwUalZh https://t.co/aRt44umhE3,"@carolinejmolloy @openDemocracy Fixed it for you:

#InsulateBritain: I’m going to cause huge disruption to roads that cause ambulances and police to be delayed when theyre needed. 

The establishment, today: have 4 months in jail

They’re not being jailed for their cause, they’re being jailed for their actions",1
"Louis, 20 “the govt... would rather lock up pensioners than insulate their homes. They would rather lock up teachers than create 1000s of jobs. I face the prospect of being sentenced to prison on my 21st birthday' Trial starts today 🙏🏻 #InsulateBritain 
https://t.co/oQMA2Iu663","I feel sorry for #InsulateBritain protestors as they believe in a cause but their arrogance, lack of cooperation and disregard for solutions has caused them to go to jail.
But how many of those jailed were organisers?......
Btw, #NationalRetrofitStrategy
https://t.co/zGStuhZZAU",0
"Ollie, who’s in this film, is in prison today as one of the #Highway9 As it becomes clear that no one is coming to save us, we need to take a stand now. #InsulateBritain @bearwitness2019 @XRebellionUK @McEnteeFergal @GreeningPutney https://t.co/fgUHY5BNXd","Surely this is the time to set tactical differences aside in the face of a threat that wants to take all manner of protest down, from #ExtinctionRebellion and #InsulateBritain to #BlackLivesMatter and beyond?
But it seems not. @novaramedia would rather smirk at the sidelines. 6/8 https://t.co/UNxTSvIf9S",1
@gmb #InsulateBritain I understand we have issues with climate change but calling this woman an “eco Zelit” and publishing “hunger strike” is ridiculous.,What a crying shaman he got put away. I wish they would do this to #InsulateBritain protestors https://t.co/cw2EZlXO7B,0
"The eco warriors have been sent to jail
Their plan to blocks roads was doomed to fail
The other prisoners may not be sympathetic
They'll probably think the protest was pathetic
#InsulateBritain #InsulateBritainLoonies #COP26 
#COP26Glasgow #ClimateCrisis #climate #ClimateJustice",Not much love for jailed #InsulateBritain halfwits this morning lol!!  #JeremyVine,1
"@InsulateLove https://t.co/P5hphmf6A1

If ever there was an appropriate song to play, I hope the jailed nine will have this forced on them on repeat.

#lonelychristmas #insulatebritain #insertbrain #prison #nicked #alone","#InsulateBritain will be proven right by history, with hindsight. I don't agree with locking them up. Such a destructive answer to the 'problem'. They annoy people, but i admire their bravery. They are not the actual problem, are they.",0
"As we express our GRATITUDE to Ana, Louis, Ben, Roman, Oliver, Emma, Tim, James &amp; Ben we must never forget that the HIGHEST APPRECIATION is not to utter words but to LIVE BY THEM

👏👏👏👏👏👏👏👏👏

@InsulateLove 
#InsulateBritain
#ClimateEmergency
https://t.co/gsHvT4MLBW",Every single one of them look like they need all their electronic devices checking immediately #insulatebritainloonies #insulatebritain https://t.co/v5h3IFs4Ix,0
@InsulateLove Solidarity.⬇️This is way more damaging and disruptive than what you do.  Thank you for trying to save us all. #ClimateEmergency   #InsulateBritain https://t.co/hqyv67Rf3s,"@Barristerblog Once these thugs get a taste for some publicity, it is hard for them not to try more and more stunts to keep up the attention they crave.
#InsulateBritain",0
@GeorgeMonbiot emotional on @gmb because he understands the impeding #ClimateEmergency This is an infinitely more important issue than anything else in these times. #InsulateBritain,Best thing that #insulateBritain can do is go on Hunger strike somewhere. Suffragettes??? guess that is the dyslexic spelling for Insufferable Gits #gmb,0
"#InsulateBritain an organisation that managed to destroy any sympathy the public may have had for their cause by their own stupid behaviour, in fact, you could argue they’ve made the public more hostile towards environmental issues in general!!  #JeremyVine https://t.co/NnlFWyZluR",So much for living a free country! More like a corrupt tin pot dictatorship were the law cements the tyrants grip on power and quashes any decent with draconian punishments #InsulateBritain https://t.co/MCxudygAuF,0
#GMB they're not martyrs they're anarchists #InsulateBritain as Dawn says there's so much more at their disposal than the people they've ridiculously compared themselves too.,#insulatebritain protesters going to Prison while Pedos and Rapists go free . What a Badge of Honour getting a jail sentence for trying to protect us and our children,0
"Democracy under attack. 
Another world is possible. 

 #RightToProtest
#climateEmergency 
#killTheBill 
#insulateBritain 
@cop26
#cop26 https://t.co/TDGHLGUSh0",A good start. Now jail the rest of them. #insulatebritain https://t.co/EJpJJOgxE2,0
"#InsulateBritain
These sentences seem harsh to me, but blocking major roads also seemed harsh to me. https://t.co/mxxHytV1DK",@ChrisJTree @InsulateLove @XRebellionUK Please understand that history will show that you followed a misguided cult that misrepresented a serious &amp;dangerous ongoing event that needs everybody on board. You are alienating the very audience you should be persuading that climate is  disaster evolving now #InsulateBritain,1
"Great to speak to @TVKev from @talkRADIO to share how it will be for the #InsulateBritain 9 who have just been locked up. The journey from court, reception to the cell &amp; the wings is terrifying and going to be a shock. Their mums, dads, partners and families will be worried sick https://t.co/PU8HNfiX91","I hope they stick those #InsulateBritain protesters in a grotty 1950's type prison, with fuck all but cockroaches for company.

Happy Christmas you tossers.",0
#insulatebritain knew they were going to prison. Why would they do that? Because the public do not know how fucked we all are. This was Canada yesterday. Almost no media is expressing the full horror of what we face. Read for yourself https://t.co/w5jsKEUie3 https://t.co/S1GiTwRB0K,"Just get on with it &amp; #InsulateBritain, you know it makes sense
#ClimateAction 
#ClimateJustice 
@InsulateLove 
https://t.co/isO2Onpzi6",1
Great news! The #InsulateBritain protesters will have to settle for gluing themselves to their prison cells. At least they’ll be warm. 🤣 #GbNews @GbNews https://t.co/vErq0skHuX,Sherrilyn Speid will be on the wrong side of history and she won't be able to erase her social footprint. Seems now to be about making money from the climate crisis... even if she gave it to charity #InsulateBritain do make an important point even if you disagree with their means,0
The @Conservatives UK “government” Now imprisoning peaceful protestors. No arguing this one. Pure fascist authoritarian bullshit. What a fucked up country this is now. #ToriesOut #fuckthetories #fascistuk #InsulateBritain #protest #protesttosurvive #destroybullies,"Two years ago, just a smidgen over 50% of dwellings in the UK had wall cavity insulation, and less than 40% had adequate loft insulation.

#InsulateBritain are right.

This is a MASSIVE amount of energy being wasted &amp; carbon generated, needlessly. https://t.co/UgtTMAAq6L",1
"This is what real traffic disruption looks like - climate disaster style
https://t.co/5fGYqherMu
 #InsulateBritain #ClimateEmergency #ClimateAction https://t.co/oYIv2D9Xqv","@seventiesicon I’m not preaching to anyone. I didn’t know anything about #InsulateBritain until their protest, after which, I found out a lot more, thereby proving you totally wrong.

Now piss off.",1
